country,CO_concentration,CO_aqi,NO2_concentration,NO2_aqi,O3_concentration,O3_aqi,SO2_concentration,SO2_aqi,PM2.5_concentration,PM2.5_aqi,PM10_concentration,PM10_aqi,overall_aqi
Argentina,153.66,1,0.96,1,52.34,44,0.13,0,13.55,43,19.73,18,44
Australia,59.77,0,0.59,0,33.96,28,0.33,0,3.43,11,4.73,4,28
Bangladesh,202.19,2,4.28,5,28.71,24,1.66,2,11.94,38,15.87,14,38
Benin,94.88,1,0.06,0,14.34,12,0.09,0,0.69,2,2.6,2,12
Bhutan,571.95,6,9.21,11,29.65,25,1.16,1,24.45,68,25.37,23,68
Brazil,76.36,0,2.23,2,30.66,25,0.11,0,0.61,1,0.95,0,25
Bulgaria,129.87,1,1.71,2,57.15,48,0.07,0,1.14,3,1.59,1,48
Burkina Faso,216.01,2,2.4,3,25.59,21,0.22,0,27.11,73,80.71,63,73
Cameroon,94.02,1,0.5,0,6.15,5,0.07,0,0.87,2,1.05,0,5
Canada,149.88,1,3.7,4,72.28,91,0.55,0,0.86,2,0.93,0,91
China,351.67,3,16.44,20,75.81,102,11.77,17,88.59,163,99.28,72,163
Colombia,143.85,1,3.91,4,9.46,8,0.28,0,0.97,3,1.39,1,8
Cyprus,113.38,1,0.2,0,105.76,176,0.67,0,9.11,29,15.51,14,176
France,114.18,1,2.79,3,26.96,22,0.05,0,1.85,6,2.34,2,22
Germany,139.5,1,6.02,7,62.76,61,1.15,1,9.52,30,10.58,9,61
Ghana,101.46,1,0.19,0,15.82,13,0.29,0,0.62,2,2,1,13
Hong Kong,82.18,0,0.03,0,19.18,16,0.11,0,2.52,8,5.78,5,16
India,465.87,5,4.41,5,96.92,154,5.27,7,75.33,155,105.65,75,155
Indonesia,104.98,1,0.97,1,31.01,26,0.36,0,2.72,8,4.1,3,26
Ireland,124.96,1,0.46,0,111.66,191,0.46,0,2.5,8,5.56,5,191
Italy,125.66,1,0.31,0,126.35,204,0.53,0,1.86,6,3.2,2,204
Japan,147.88,1,1.6,2,121.44,202,1.59,2,2.33,7,4.13,3,202
Kenya,103.14,1,0.64,0,29.22,24,0.1,0,0.8,2,1.09,1,24
Latvia,129.65,1,1.58,1,80.45,113,0.39,0,4.46,14,5.16,4,113
Luxembourg,120.29,1,2.63,3,53.16,45,0.13,0,5.84,18,6.9,6,45
Malaysia,261.01,2,2.1,2,26.06,22,0.64,0,9.47,30,9.82,9,30
Maldives,122.63,1,0.02,0,31.81,26,0.03,0,0.5,1,1.21,1,26
Mexico,163.53,1,1.81,2,104.62,174,1.61,2,18.11,55,19.88,18,174
Montenegro,128.57,1,0.33,0,115.43,200,1.33,1,0.95,3,2.53,2,200
Netherlands,171.2,1,19.14,23,74.71,99,3.4,5,7.77,25,9.06,8,99
Philippines,149.29,1,3.56,4,49.18,41,2.61,3,7.54,24,11.97,11,41
Portugal,107.97,1,1.12,1,97.2,155,0.95,1,1.22,3,3.27,3,155
Rwanda,597.22,6,3.04,3,2.05,1,0.34,0,27.72,74,42.92,39,74
Slovenia,148.17,1,5.44,6,62.79,61,0.81,1,8.58,27,9.86,9,61
South Africa,328.06,3,12.52,15,11.73,9,4.74,6,14.42,46,22.53,20,46
Spain,102.03,1,0.95,1,69.12,81,0.13,0,1.86,6,3.59,3,81
Sri Lanka,103.96,1,0.55,0,16.42,13,0.32,0,0.51,1,1.84,1,13
Switzerland,152.89,1,4.03,5,71.97,90,0.47,0,12.62,40,13.34,12,90
Tanzania,85.56,0,0.36,0,7.91,6,0.02,0,3.03,9,3.56,3,9
Thailand,232.73,2,3.2,4,24.36,20,0.78,1,9.76,31,10.95,10,31
Tunisia,139.84,1,2.02,2,88.9,134,2.42,3,19.06,57,24.04,22,134
Turkey,127.87,1,1.58,1,81.18,115,0.8,1,0.88,2,1.02,0,115
Ukraine,133.66,1,1.55,1,52.24,44,0.16,0,1.76,5,2.8,2,44
United Arab Emirates,161.15,1,0.69,0,114,197,0.57,0,40.51,100,165,105,197
United Kingdom,150.47,1,17.12,21,105.71,176,9.2,13,15.54,50,18.96,17,176
Vietnam,441.01,5,4.6,5,20.77,17,1.36,2,38.94,97,45.77,42,97
Armenia,110.94,1,3.25,4,78.67,109,1.08,1,6.41,20,7.12,6,109
Chile,178.59,2,5.16,6,48.27,40,0.35,0,10.63,34,15.91,14,40
Denmark,131.61,1,8.22,10,66.95,74,1.41,2,11.22,36,11.85,10,74
Ecuador,310.84,3,11.89,14,4.79,4,1.15,1,3.82,12,5.25,4,14
El Salvador,110.6,1,0.13,0,45.83,38,0.37,0,8.54,27,9.95,9,38
Greece,129.16,1,0.84,1,98.52,158,0.76,1,0.86,2,1.94,1,158
Honduras,148.56,1,0.74,0,60.58,54,3.59,5,24.37,67,25.79,23,67
Kuwait,138.61,1,1.42,1,133.09,206,8.7,12,46.43,112,173.76,109,206
Lithuania,131.41,1,5.1,6,50.4,42,0.85,1,3.7,12,4.31,3,42
Nigeria,382.66,4,2.54,3,32.2,27,0.72,1,26.1,71,37.18,34,71
Peru,69.59,0,0.04,0,58.41,49,0.41,0,6.97,22,18.58,17,49
Romania,135.98,1,2.62,3,51.83,43,0.17,0,1.89,6,3.31,3,43
Serbia,129.54,1,2.92,3,63.58,64,0.72,1,3.86,12,5.07,4,64
Singapore,135.46,1,1.18,1,10.68,9,0.52,0,6.46,20,6.92,6,20
Togo,98.25,1,0.14,0,14.17,12,0.11,0,0.56,1,1.93,1,12
