country,CO_concentration,CO_aqi,NO2_concentration,NO2_aqi,O3_concentration,O3_aqi,SO2_concentration,SO2_aqi,PM2.5_concentration,PM2.5_aqi,PM10_concentration,PM10_aqi,overall_aqi
Argentina,147.69,1,2.64,3,28.52,24,0.11,0,4.71,15,6.65,6,24
Australia,54.61,0,0.47,0,25.29,21,0.16,0,0.51,1,1.02,0,21
Bangladesh,136.59,1,2.29,2,20.92,17,1.33,1,10.24,33,26.47,24,33
Benin,117.06,1,0.06,0,14.67,12,0.1,0,0.82,2,3.08,2,12
Bhutan,687.84,7,8.49,10,39.96,33,1.32,1,49.44,118,59.5,52,118
Brazil,119.72,1,6.22,7,23.66,20,0.22,0,3.38,10,4.23,3,20
Bulgaria,122.36,1,1.07,1,80.05,112,0.75,1,3.4,11,6.19,5,112
Burkina Faso,216.45,2,2.19,2,51.44,43,0.64,0,32.55,84,109.81,77,84
Cameroon,110.64,1,0.55,0,6.73,5,0.13,0,1.07,3,1.26,1,5
Canada,187.91,2,4.67,5,82.77,119,0.39,0,2.8,9,3.19,2,119
China,466.22,5,17.3,21,45.68,38,12.59,18,169.53,219,216.23,131,219
Colombia,235.26,2,5.73,7,28.44,24,4.75,6,21.57,62,22.1,20,62
Cyprus,128.17,1,1.13,1,88.5,133,0.96,1,37.45,94,115.13,80,133
France,169.58,1,6.72,8,38.78,32,0.25,0,6.25,20,8.65,8,32
Germany,177.9,2,10.1,12,58.18,49,0.83,1,10.23,33,12.35,11,49
Ghana,115.73,1,0.7,0,15.08,12,1.43,2,1,3,2.16,2,12
Hong Kong,87.61,0,0.05,0,18.27,15,0.04,0,0.56,1,1.3,1,15
India,472.32,5,10.05,12,49.6,42,2.87,4,55.39,129,98.26,72,129
Indonesia,274.83,3,1.25,1,49.87,42,0.59,0,8.87,28,10.7,9,42
Ireland,134.6,1,0.83,1,83.3,120,0.46,0,0.83,2,2.79,2,120
Italy,158.89,1,0.86,1,110.39,188,0.77,1,12.99,42,20.95,19,188
Japan,152.82,1,5.47,6,117.93,201,7.2,10,5.43,17,19.73,18,201
Kenya,86.06,0,0.47,0,28.59,24,0.09,0,0.55,1,0.66,0,24
Latvia,146.07,1,1.77,2,90.4,138,0.4,0,3.99,12,4.95,4,138
Luxembourg,134.36,1,3.08,3,43.13,36,0.09,0,6.21,20,9.02,8,36
Malaysia,284.68,3,2.37,2,24.56,20,0.61,0,8.38,27,8.74,8,27
Maldives,101.54,1,0.02,0,20.58,17,0.03,0,0.5,1,1.46,1,17
Mexico,145.04,1,1.67,2,86.73,129,2.15,3,13.09,42,15.6,14,129
Montenegro,135.78,1,0.95,1,96.4,153,1.52,2,3.31,10,5.99,5,153
Netherlands,272.19,3,52.53,65,13.29,11,8.21,12,8.61,27,13.1,12,65
Philippines,345.76,3,3.31,4,113.21,195,7.85,11,47.93,115,56.45,51,195
Portugal,126.31,1,5.1,6,119.62,201,3.19,4,5.51,17,15.31,14,201
Rwanda,686.01,7,4.32,5,1.82,1,0.45,0,22.9,65,42.12,39,65
Slovenia,183.25,2,5.82,7,67.12,75,0.51,0,8,25,9.35,8,75
South Africa,162.24,1,7.58,9,30.92,26,5.8,8,2.88,9,5.57,5,26
Spain,97.16,1,1.24,1,56.79,48,0.09,0,2.02,6,3.2,2,48
Sri Lanka,99.37,1,1.57,1,26.38,22,0.91,1,0.5,1,0.61,0,22
Switzerland,203.93,2,6.69,8,85.76,126,1.94,2,30.71,80,32.88,30,126
Tanzania,78.39,0,0.55,0,4.1,3,0.04,0,1.91,6,2.54,2,6
Thailand,205.53,2,2.25,2,19.46,16,0.43,0,14.63,47,18.26,16,47
Tunisia,122.35,1,1.5,1,83.45,121,0.35,0,4.04,13,6.39,5,121
Turkey,111.15,1,1.07,1,90.95,139,0.42,0,2.4,7,2.76,2,139
Ukraine,143.59,1,0.85,1,81.44,116,0.09,0,1.09,3,1.81,1,116
United Arab Emirates,166.24,1,2.24,2,113.84,197,6.21,9,114.47,178,369.34,221,221
United Kingdom,139.71,1,18.26,22,86.22,128,7.67,11,6.71,21,11.62,10,128
Vietnam,691.63,7,11.88,14,4.59,3,1.92,2,40.42,100,45.15,41,100
Armenia,115.84,1,2.57,3,105.06,175,1.58,2,8.65,28,17.66,16,175
Chile,196.82,2,8.03,10,23.83,20,0.14,0,8.3,26,11.47,10,26
Denmark,158.95,1,7.16,8,71.3,88,1.48,2,8.89,28,9.4,8,88
Ecuador,339.95,3,13.1,16,18.14,15,1.98,2,9.44,30,10.22,9,30
El Salvador,148.16,1,0.22,0,70.23,85,0.72,1,20.68,60,22.57,20,85
Greece,121.03,1,0.93,1,108.35,183,0.61,0,3.32,10,11.95,11,183
Honduras,139.16,1,0.79,0,77.59,106,9.77,14,18.23,55,21.05,19,106
Kuwait,135.9,1,3.08,3,64.17,66,0.35,0,38.06,95,180.36,113,113
Lithuania,144.42,1,2.06,2,73.1,94,0.77,1,5.23,16,6.17,5,94
Nigeria,282.94,3,2.45,3,21.27,18,0.59,0,6.53,21,12.16,11,21
Peru,69.58,0,0.05,0,36.35,30,0.27,0,3.13,10,11.72,10,30
Romania,136.1,1,2.79,3,46.73,39,0.34,0,4.31,13,7.22,6,39
Serbia,140.31,1,2.56,3,57.03,48,0.36,0,7.45,24,9.01,8,48
Singapore,142.75,1,0.56,0,8.85,7,0.13,0,4.71,15,5.05,4,15
Togo,123.75,1,0.32,0,15.99,13,0.16,0,0.67,2,1.95,1,13
